predicted_mean,"lower Total TL: Spot Rate (exc. FSC, SA)","upper Total TL: Spot Rate (exc. FSC, SA)"
110.41100032049768,98.6100481084462,122.21195253254916
107.49598496471721,95.69503275266572,119.2969371767687
106.87207468814911,95.07112247609763,118.6730269002006
108.1684837106187,96.36753149856722,119.96943592267019
112.35003197942198,100.5490797673705,124.15098419147347
115.321948637253,103.52099642520152,127.12290084930449
119.06569198373441,107.26473977168293,130.8666441957859
124.5382905992018,112.73733838715032,136.33924281125329
130.95661466000405,119.15566244795257,142.75756687205555
132.5316926695979,120.73074045754642,144.3326448816494
131.3703844735477,119.5694322614962,143.1713366855992
